"YEAR","CASEID","FAMINCOME","HH_CHILD","PERNUM","LINENO","DATE","WT06","AGE","SEX","RACE","MARST","POPSTAT","EDUC","EMPSTAT","RETIRED","FULLPART","HOURWAGE_CPS8","SPOUSEPRES","SPSEX","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_HHACT","BLS_LEIS","BLS_OTHER","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","BLS_WORK_SEARCH"
2019,20190403192373,13,1,1,1,20190407,3552383.541180000,38,2,100,1,1,43,1,99,1,999.99,1,1,160,0,0,0,330,0,0,760,0,0,0,0
2019,20190403192378,10,0,1,1,20190406,2418924.370790000,80,2,100,3,1,30,5,1,99,999.99,3,99,0,10,0,0,160,341,15,540,199,0,0,0
2019,20190403192380,6,0,1,1,20190406,1930719.209765000,74,2,110,4,1,21,5,1,99,999.99,3,99,0,0,60,0,10,770,0,600,0,0,0,0
2019,20190403192389,7,0,1,1,20190412,14703475.51263800,79,2,100,3,1,21,5,1,99,999.99,3,99,0,0,0,0,280,220,0,780,120,0,0,0
2019,20190403192390,12,1,1,1,20190429,6823889.144733000,27,2,100,1,1,20,5,99,99,999.99,1,1,285,0,0,235,140,200,0,540,0,0,0,0
2019,20190403192392,10,0,1,1,20190408,6660713.488326000,80,1,100,4,1,31,5,1,99,999.99,3,99,0,0,0,0,10,785,0,585,0,0,0,0
2019,20190403192394,3,0,1,1,20190408,25401676.56199000,76,1,100,1,1,21,5,1,99,999.99,1,2,0,0,0,0,460,530,0,330,0,0,0,0
2019,20190403192402,6,1,1,1,20190426,6143374.880425000,48,2,100,4,1,21,1,99,2,11.5,3,99,178,0,20,0,195,165,0,400,0,65,387,0
2019,20190403192408,15,0,1,1,20190417,13749277.51405700,75,1,100,1,1,41,5,1,99,999.99,1,2,0,0,0,0,240,390,0,630,0,0,0,0
2019,20190403192417,11,0,1,1,20190405,8495073.131631000,73,2,100,3,1,21,5,1,99,999.99,3,99,0,0,30,0,65,778,0,522,10,0,0,0
2019,20190403192420,12,0,1,1,20190414,3684351.403660000,57,1,100,2,1,21,1,99,1,999.99,3,99,0,420,0,0,0,0,0,270,0,0,750,0
2019,20190403192423,13,0,1,1,20190406,5378716.051878000,27,1,100,1,1,40,1,99,1,999.99,1,2,0,0,0,0,62,378,0,615,155,0,90,0
2019,20190403192425,16,0,1,1,20190424,32916596.05370100,22,2,100,6,1,31,5,99,99,999.99,3,99,0,0,10,319,5,10,0,551,0,520,0,0
2019,20190403192431,11,0,1,1,20190414,5021309.650058000,62,1,100,1,1,40,5,1,99,999.99,1,2,0,21,0,0,55,389,0,485,0,425,0,0
2019,20190403192442,15,0,1,1,20190421,2157407.060758000,62,1,100,6,1,40,1,99,1,41.21,3,99,0,0,40,0,300,505,100,438,17,0,0,0
2019,20190403192448,10,1,1,1,20190427,6131595.609783000,28,1,100,6,1,40,1,99,1,999.99,1,2,80,0,0,0,115,100,0,505,50,30,510,0
2019,20190403192456,14,0,1,1,20190407,3260561.390704000,70,2,100,1,1,41,5,99,99,12.0,1,1,0,0,0,0,0,733,0,500,47,75,0,0
2019,20190403192483,4,0,1,1,20190421,1217608.342625000,80,2,100,3,1,43,5,1,99,999.99,3,99,0,0,0,0,60,580,0,720,0,0,0,0
2019,20190403192484,6,1,1,1,20190421,2059121.085639000,28,2,100,4,1,32,1,99,1,999.99,3,99,0,0,0,0,360,0,0,690,0,360,0,0
2019,20190403192485,4,1,1,1,20190427,3588995.415249000,34,2,110,6,1,16,1,99,2,8.75,3,99,68,0,0,0,220,60,0,569,52,20,436,0
2019,20190403192491,12,0,1,1,20190404,8040628.414149000,80,2,100,3,1,40,1,99,2,51.0,3,99,0,0,67,0,115,384,0,485,180,0,154,0
2019,20190403192494,16,1,1,1,20190424,19282782.19311500,46,2,100,1,1,40,1,99,1,999.99,1,1,60,0,5,0,64,205,0,541,40,0,480,0
2019,20190403192495,16,1,1,1,20190407,3471477.661694000,43,2,100,1,1,40,1,99,1,999.99,1,1,30,0,0,80,50,270,0,600,80,0,265,0
2019,20190403192496,13,0,1,1,20190401,9865949.733712000,50,1,100,4,1,21,1,99,1,19.0,3,99,0,0,0,0,45,230,0,355,45,0,720,0
2019,20190403192502,16,1,1,1,20190405,14441867.64122200,49,1,100,1,1,21,1,99,1,999.99,1,2,11,0,5,0,67,164,0,394,20,0,721,0
2019,20190403192503,15,1,1,1,20190412,9574974.295096000,41,2,100,1,1,41,1,99,2,15.0,1,1,299,0,0,0,35,165,0,575,0,0,335,0
2019,20190403192507,13,0,1,1,20190411,10901987.77058100,49,2,100,1,1,41,1,99,1,999.99,1,1,0,0,5,0,132,60,0,450,100,0,671,0
2019,20190403192513,15,1,1,1,20190403,14846671.81247000,55,1,131,1,1,40,1,99,1,54.04,1,2,0,0,0,0,30,70,0,405,0,195,700,0
2019,20190403192516,1,0,1,1,20190424,21829476.60734200,19,2,100,6,1,21,5,99,99,999.99,3,99,0,0,120,610,20,120,0,540,0,0,0,0
2019,20190403192519,6,1,1,1,20190427,13051451.42712500,27,1,100,1,1,21,1,99,1,999.99,1,2,0,0,0,0,0,563,0,247,0,0,595,0
2019,20190403192520,14,1,1,1,20190414,2840785.953014000,44,2,100,1,1,30,1,99,1,22.0,1,1,0,0,0,0,1020,0,0,420,0,0,0,0
2019,20190403192524,9,0,1,1,20190414,3937192.967259000,29,1,100,6,1,40,1,99,1,15.5,3,99,0,0,0,0,0,30,0,780,0,0,540,0
2019,20190403192529,16,1,1,1,20190417,13603560.01623300,50,1,100,1,1,42,1,99,1,999.99,1,2,5,52,0,0,0,160,0,510,25,68,520,0
2019,20190403192530,14,0,1,1,20190414,4837111.006078000,64,2,100,1,1,41,5,1,99,999.99,1,1,0,0,25,0,330,320,0,585,0,75,0,0
2019,20190403192531,11,0,1,1,20190414,1702429.853561000,46,2,200,4,1,40,2,99,2,999.99,3,99,0,60,0,0,291,90,60,660,249,0,0,0
2019,20190403192542,2,1,1,1,20190427,3272759.839622000,56,1,100,1,1,21,5,99,99,999.99,1,2,90,0,65,0,180,545,100,430,20,0,0,0
2019,20190404190006,10,1,1,1,20190428,4387947.303712000,33,2,110,6,1,40,1,99,1,17.5,3,99,0,0,0,0,120,430,0,855,0,0,0,0
2019,20190404190020,5,1,1,1,20190421,3652118.597739000,31,2,110,6,1,30,5,99,99,999.99,3,99,219,0,0,120,287,130,51,588,0,0,0,0
2019,20190404190027,8,0,1,1,20190429,4565490.923131000,45,2,100,6,1,32,5,99,99,11.35,3,99,0,0,40,0,80,288,0,660,392,0,0,0
2019,20190404190040,2,0,1,1,20190428,5208644.143556000,55,2,100,3,1,14,1,99,2,999.99,3,99,0,0,0,0,49,100,0,640,0,0,485,0
2019,20190404190046,8,0,1,1,20190428,11342628.76458200,29,1,100,6,1,30,3,99,99,999.99,3,99,0,0,0,287,0,334,0,780,19,0,0,0
2019,20190404190063,12,0,1,1,20190423,5860449.462979000,46,1,100,4,1,40,4,99,99,999.99,3,99,0,0,0,0,220,540,0,660,0,0,0,0
2019,20190404190096,7,1,1,1,20190425,21107110.60316500,17,1,100,6,1,14,5,99,99,999.99,3,99,0,0,0,505,5,242,0,615,0,0,0,0
2019,20190404190103,14,0,1,1,20190428,5440305.554420000,60,2,100,1,1,40,1,99,1,9.5,1,1,0,0,0,0,125,210,117,690,80,157,0,0
2019,20190404190109,9,0,1,1,20190423,6868162.026803000,80,2,100,3,1,30,5,1,99,999.99,3,99,0,0,10,0,310,608,0,360,85,0,0,0
2019,20190404190504,15,0,1,1,20190427,8829133.462307000,61,1,100,1,1,21,1,99,1,999.99,1,2,0,0,0,0,0,310,15,585,0,230,260,0
2019,20190404190507,7,0,1,1,20190428,4991105.863228000,74,2,100,1,1,21,5,1,99,999.99,1,1,0,0,0,0,665,205,0,570,0,0,0,0
2019,20190404190521,16,0,1,1,20190428,4261127.132606000,73,2,100,1,1,21,5,1,99,999.99,1,1,0,0,0,0,310,546,0,499,35,0,0,0
2019,20190404190522,13,0,1,1,20190426,9581372.573513000,63,1,100,4,1,21,1,99,1,30.0,3,99,0,0,0,0,220,70,0,550,0,0,510,0
2019,20190404190534,14,1,1,1,20190428,6318103.704246000,47,2,100,1,1,21,1,99,1,999.99,1,1,0,0,0,0,165,365,0,570,0,0,290,0
2019,20190404190550,6,0,1,1,20190429,43831288.57325200,24,2,100,6,1,30,1,99,2,999.99,3,99,0,0,33,487,30,85,0,615,40,0,55,0
2019,20190404190557,15,1,1,1,20190421,3282539.511475000,46,2,100,1,1,30,1,99,1,999.99,1,1,85,0,0,0,300,210,0,619,96,90,0,0
2019,20190404190564,13,0,1,1,20190427,20214294.74770900,25,1,100,6,1,30,1,99,1,18.0,3,99,0,0,0,0,0,640,0,660,0,0,0,0
2019,20190404190571,3,0,1,1,20190430,22934451.45763800,28,2,100,6,1,40,1,99,1,999.99,2,1,0,0,3,0,88,160,0,612,0,0,540,0
2019,20190404190580,15,1,1,1,20190421,5266665.215783000,36,1,100,1,1,31,1,99,1,999.99,1,2,70,0,0,0,10,319,0,615,339,0,0,0
2019,20190404190605,2,0,1,1,20190421,3271304.336799000,62,2,110,4,1,13,5,99,99,999.99,3,99,0,0,32,0,240,670,0,498,0,0,0,0
2019,20190404190617,8,0,1,1,20190427,2183017.147628000,77,2,100,2,1,30,5,1,99,999.99,3,99,0,0,0,0,0,450,0,790,75,115,0,0
2019,20190404190659,15,0,1,1,20190429,22316241.73301200,54,2,100,1,1,31,1,99,1,14.5,1,1,0,0,0,0,11,134,0,566,50,0,379,0
2019,20190404190681,6,0,1,1,20190428,3820871.453812000,35,2,100,6,1,40,5,99,99,999.99,3,99,0,0,45,260,0,405,0,700,0,0,0,0
2019,20190404190689,9,0,1,1,20190421,1925188.882905000,85,2,100,3,1,32,1,99,2,999.99,3,99,0,0,0,0,0,135,0,870,23,90,187,0
2019,20190404190717,14,1,1,1,20190428,1694624.401727000,39,2,100,5,1,40,1,99,1,999.99,3,99,65,180,0,0,160,395,0,500,0,0,0,0
2019,20190404190730,10,0,1,1,20190421,1765831.455435000,75,2,100,4,1,32,5,1,99,999.99,3,99,0,0,30,0,93,842,0,380,0,70,0,0
2019,20190404190737,13,0,1,1,20190424,7716814.835747000,41,2,100,6,1,40,1,99,1,999.99,3,99,0,0,0,0,150,185,0,450,40,0,545,0
2019,20190404190764,16,1,1,1,20190430,7548878.037831000,46,1,131,1,1,43,1,99,1,999.99,1,2,235,0,0,0,15,65,0,480,0,5,610,0
2019,20190404190765,4,0,1,1,20190427,3789638.223713000,66,1,100,6,1,40,5,1,99,999.99,3,99,0,0,30,0,30,657,0,693,0,0,0,0
2019,20190404190768,16,1,1,1,20190421,2795313.719171000,35,2,100,1,1,41,1,99,1,999.99,1,1,155,0,0,0,55,578,0,492,0,95,0,0
2019,20190404190773,12,0,1,1,20190423,11940889.46022200,80,2,100,1,1,41,1,99,2,999.99,1,1,280,0,0,0,30,160,150,555,0,0,115,0
2019,20190404190792,12,0,1,1,20190421,1851762.909651000,79,2,100,4,1,30,4,1,99,999.99,3,99,0,0,0,0,110,490,0,810,0,0,0,0
2019,20190404190828,14,0,1,1,20190423,19253551.37119000,26,1,100,6,1,40,1,99,1,999.99,3,99,0,0,15,0,105,145,0,570,50,0,500,0
2019,20190404190833,10,0,1,1,20190422,19567730.16000100,70,2,100,3,1,41,1,99,2,34.0,3,99,0,41,58,0,150,250,10,465,0,112,189,0
2019,20190404190836,14,0,1,1,20190429,17877047.05964900,37,2,100,1,1,40,1,99,1,999.99,1,1,0,0,0,0,16,204,0,525,21,0,614,0
2019,20190404190839,14,0,1,1,20190423,10164517.19366900,49,1,100,1,1,32,1,99,1,999.99,1,2,0,0,0,0,50,150,0,420,15,45,685,0
2019,20190404190866,5,0,1,1,20190421,4276330.287944000,79,2,100,1,1,11,5,99,99,999.99,1,1,0,0,0,0,90,420,0,740,0,75,0,0
2019,20190404190867,14,0,1,1,20190422,7994049.500708000,80,2,100,3,1,21,5,1,99,999.99,3,99,0,0,0,0,91,683,0,614,6,0,0,0
